Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.0082569,20,20,1200,571,6693,3173,1,0.47583333333333333,0.4740773942925445,20.00,0.0000,0.00,0.5495495495495496,0.4375,0.4251968503937008,0.49606299212598426,0.5517241379310345,0.44545454545454544,0.42276422764227645,0.44,0.47540983606557374,0.5196850393700787
BERand,0.006995,20,20,1200,833,6693,4717,1,0.6941666666666667,0.7047661736142238,20.00,0.0000,0.00,0.6756756756756757,0.6785714285714286,0.6614173228346457,0.6535433070866141,0.7586206896551724,0.6727272727272727,0.6747967479674797,0.696,0.6967213114754098,0.7716535433070866
Amaga,0.0080723,20,20,1200,857,6693,5600,1,0.7141666666666666,0.8366950545345884,20.00,0.0000,0.00,0.16216216216216217,0.375,0.5118110236220472,0.7086614173228346,0.7844827586206896,0.8,0.8861788617886179,0.904,0.9590163934426229,0.9763779527559056
Ampga,0.0112783,20,20,1200,866,6693,5694,1,0.7216666666666667,0.8507395786642761,20.00,0.0000,0.00,0.13513513513513514,0.30357142857142855,0.5433070866141733,0.7244094488188977,0.7586206896551724,0.9090909090909091,0.9105691056910569,0.912,0.9836065573770492,0.9606299212598425
Diktyoga,0.0188977,20,20,1200,870,6693,5652,1,0.725,0.8444643657552667,20.00,0.0000,0.00,0.1981981981981982,0.3392857142857143,0.5511811023622047,0.7165354330708661,0.7931034482758621,0.8545454545454545,0.9105691056910569,0.864,1,0.952755905511811
Mcssga,0.0552981,20,20,1200,474,6693,3582,1,0.395,0.5351860152398028,20.00,0.0000,0.00,0.009009009009009009,0.026785714285714284,0.09448818897637795,0.2204724409448819,0.3275862068965517,0.5545454545454546,0.5528455284552846,0.576,0.7459016393442623,0.7874015748031497
