Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.0083273,20,20,800,428,4459,2323,1,0.535,0.5209688270912761,20.00,0.0000,0.00,0.6506024096385542,0.5974025974025974,0.5316455696202531,0.5060240963855421,0.48333333333333334,0.5232558139534884,0.4691358024691358,0.4342105263157895,0.5909090909090909,0.5402298850574713
BERand,0.0069981,20,20,800,568,4459,3173,1,0.71,0.7115945279210585,20.00,0.0000,0.00,0.6626506024096386,0.7662337662337663,0.7341772151898734,0.6626506024096386,0.7166666666666667,0.7093023255813954,0.691358024691358,0.7368421052631579,0.7386363636363636,0.6896551724137931
Amaga,0.0109573,20,20,800,588,4459,3757,1,0.735,0.8425655976676385,20.00,0.0000,0.00,0.27710843373493976,0.38961038961038963,0.5443037974683544,0.8192771084337349,0.7833333333333333,0.8488372093023255,0.9012345679012346,0.9078947368421053,0.9431818181818182,0.9080459770114943
Ampga,0.0349946,20,20,800,590,4459,3818,1,0.7375,0.8562457950213053,20.00,0.0000,0.00,0.2289156626506024,0.35064935064935066,0.6455696202531646,0.7349397590361446,0.7666666666666667,0.8372093023255814,0.9382716049382716,0.9473684210526315,0.9318181818181818,0.9655172413793104
Diktyoga,0.0075459,20,20,800,583,4459,3801,1,0.72875,0.8524332810047096,20.00,0.0000,0.00,0.2289156626506024,0.2597402597402597,0.5949367088607594,0.7951807228915663,0.7666666666666667,0.872093023255814,0.9135802469135802,0.9078947368421053,0.9431818181818182,0.9655172413793104
Mcssga,0.0136509,20,20,800,303,4459,2247,1,0.37875,0.5039246467817896,20.00,0.0000,0.00,0.024096385542168676,0.06493506493506493,0.13924050632911392,0.2289156626506024,0.3333333333333333,0.43023255813953487,0.5308641975308642,0.618421052631579,0.7159090909090909,0.6436781609195402
