Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.000992,20,20,1200,604,6671,3328,1,0.5033333333333333,0.49887573077499625,23.99,0.0627,0.41,0.49606299212598426,0.5566037735849056,0.49624060150375937,0.4782608695652174,0.5084745762711864,0.5619047619047619,0.5096153846153846,0.5,0.4148148148148148,0.5354330708661418
BERand,0,20,20,1200,833,6671,4643,1,0.6941666666666667,0.6959976015589867,23.50,0.0427,0.28,0.7244094488188977,0.6509433962264151,0.706766917293233,0.6347826086956522,0.6864406779661016,0.7142857142857143,0.7692307692307693,0.6923076923076923,0.6370370370370371,0.7322834645669292
Amaga,0.0040039,20,20,1200,881,6671,5655,1,0.7341666666666666,0.8476989956528257,24.88,0.0798,0.52,0.25984251968503935,0.330188679245283,0.631578947368421,0.7304347826086957,0.788135593220339,0.8857142857142857,0.9326923076923077,0.8769230769230769,0.9629629629629629,0.9291338582677166
Ampga,0.0059968,20,20,1200,881,6671,5740,1,0.7341666666666666,0.8604407135362014,26.26,0.1694,1.17,0.1732283464566929,0.42452830188679247,0.5939849624060151,0.6869565217391305,0.7796610169491526,0.8571428571428571,0.9230769230769231,0.9461538461538461,0.9703703703703703,0.9763779527559056
Diktyoga,0.0067948,20,20,1200,865,6671,5708,1,0.7208333333333333,0.8556438315095188,24.66,0.0840,0.55,0.14173228346456693,0.2830188679245283,0.5864661654135338,0.6956521739130435,0.8220338983050848,0.8761904761904762,0.9326923076923077,0.9230769230769231,0.9629629629629629,0.968503937007874
Mcssga,0.0079958,20,20,1200,501,6671,3700,1,0.4175,0.5546394843351822,23.56,0.0710,0.50,0.023622047244094488,0.07547169811320754,0.15037593984962405,0.2782608695652174,0.3728813559322034,0.5047619047619047,0.6346153846153846,0.6230769230769231,0.7037037037037037,0.7795275590551181
MTDP,0.010689,20,20,1200,258,6671,2449,1,0.215,0.36711137760455703,23.88,0.0594,0.36,0,0,0,0,0,0,0,0,0.9703703703703703,1
