Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0,20,20,1600,826,8797,4554,1,0.51625,0.5176764806183927,25.38,0.1217,0.82,0.5325443786982249,0.47761194029850745,0.515527950310559,0.5058823529411764,0.563953488372093,0.5257142857142857,0.4397163120567376,0.4716981132075472,0.6049382716049383,0.5031847133757962
BERand,0.0010077,20,20,1600,1127,8797,6217,1,0.704375,0.7067181993861543,25.32,0.1163,0.79,0.7337278106508875,0.6716417910447762,0.6832298136645962,0.6882352941176471,0.7267441860465116,0.7142857142857143,0.6524822695035462,0.6666666666666666,0.8148148148148148,0.6751592356687898
Amaga,0.0035356,20,20,1600,1150,8797,7335,1,0.71875,0.8338069796521541,24.65,0.0933,0.62,0.26627218934911245,0.373134328358209,0.5714285714285714,0.6470588235294118,0.7732558139534884,0.8342857142857143,0.851063829787234,0.9182389937106918,0.9567901234567902,0.9745222929936306
Ampga,0.0069946,20,20,1600,1150,8797,7444,1,0.71875,0.8461975673525065,24.31,0.0715,0.45,0.20710059171597633,0.3358208955223881,0.5093167701863354,0.6647058823529411,0.8081395348837209,0.8342857142857143,0.9290780141843972,0.9433962264150944,0.9691358024691358,0.9681528662420382
Diktyoga,0.006005,20,20,1600,1146,8797,7410,1,0.71625,0.8423326133909287,24.75,0.0862,0.56,0.16568047337278108,0.40298507462686567,0.5217391304347826,0.6941176470588235,0.75,0.8571428571428571,0.900709219858156,0.89937106918239,0.9753086419753086,0.9872611464968153
Mcssga,0.0080034,20,20,1600,621,8797,4566,1,0.388125,0.5190405820165965,25.44,0.1361,0.89,0.005917159763313609,0.06716417910447761,0.10559006211180125,0.2529411764705882,0.38953488372093026,0.4857142857142857,0.5106382978723404,0.5471698113207547,0.7469135802469136,0.7579617834394905
MTDP,0.0109918,20,20,1600,157,8797,1570,1,0.098125,0.17846993293168126,25.02,0.1085,0.74,0,0,0,0,0,0,0,0,0,1
