Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.0010081,20,20,800,405,4436,2342,1,0.50625,0.5279531109107304,26.27,0.1624,1.11,0.4691358024691358,0.3684210526315789,0.44871794871794873,0.4823529411764706,0.5060240963855421,0.581081081081081,0.6027397260273972,0.5897435897435898,0.5294117647058824,0.4942528735632184
BERand,0,20,20,800,561,4436,3153,1,0.70125,0.710775473399459,25.71,0.1369,0.92,0.6790123456790124,0.6578947368421053,0.6666666666666666,0.6823529411764706,0.7228915662650602,0.7027027027027027,0.7123287671232876,0.782051282051282,0.7529411764705882,0.6551724137931034
Amaga,0.0020129,20,20,800,579,4436,3758,1,0.72375,0.8471596032461677,25.93,0.1587,1.08,0.20987654320987653,0.3815789473684211,0.5384615384615384,0.6823529411764706,0.7831325301204819,0.8243243243243243,0.958904109589041,0.9230769230769231,0.9647058823529412,0.9540229885057471
Ampga,0.004005,20,20,800,581,4436,3802,1,0.72625,0.8570784490532011,24.54,0.0722,0.46,0.14814814814814814,0.32894736842105265,0.6282051282051282,0.6588235294117647,0.7951807228915663,0.8783783783783784,0.9315068493150684,0.9230769230769231,0.9764705882352941,0.9770114942528736
Diktyoga,0.0040024,20,20,800,573,4436,3763,1,0.71625,0.8482867448151488,25.23,0.0880,0.55,0.1728395061728395,0.34210526315789475,0.5512820512820513,0.6470588235294118,0.7831325301204819,0.8243243243243243,0.9315068493150684,0.9487179487179487,0.9529411764705882,0.9885057471264368
Mcssga,0.0080021,20,20,800,330,4436,2458,1,0.4125,0.5541027953110911,25.14,0.1133,0.76,0.04938271604938271,0.05263157894736842,0.10256410256410256,0.27058823529411763,0.40963855421686746,0.4189189189189189,0.589041095890411,0.6153846153846154,0.7176470588235294,0.8505747126436781
MTDP,0.0070075,20,20,800,228,4436,2076,1,0.285,0.46798917944093776,25.80,0.1311,0.89,0,0,0,0,0,0,0,0.7948717948717948,0.9411764705882353,0.9885057471264368
