Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.558617205,50,0,7000,0,38346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERand,0.576767347,50,50,7000,0,38346,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amaga,10.817603998,50,50,7000,0,38346,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ampga,10.909221171,50,50,7000,0,38346,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diktyoga,10.953214771,50,50,7000,0,38346,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mcssga,11.033479945,50,50,7000,0,38346,0,1,0,0,0,0,0,0,0,0,0,0,0,0
